FeedbackID,CustomerID,ProjectID,FeedbackDate,Rating,Comments
FDBK0001,CUST0001,PROJ001,2013-10-07,5,Excellent construction quality and timely delivery. Very happy!
FDBK0002,CUST0002,PROJ001,2013-06-23,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0003,CUST0004,PROJ001,2013-06-20,2,Significant delay in handover. The final product feels rushed.
FDBK0004,CUST0007,PROJ001,2013-10-22,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0005,CUST0010,PROJ001,2014-03-18,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0006,CUST0012,PROJ001,2014-01-20,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0007,CUST0013,PROJ001,2014-03-27,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0008,CUST0015,PROJ001,2014-03-29,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0009,CUST0017,PROJ001,2014-03-20,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0010,CUST0018,PROJ001,2013-11-26,5,Excellent construction quality and timely delivery. Very happy!
FDBK0011,CUST0019,PROJ001,2014-04-03,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0012,CUST0020,PROJ001,2014-01-13,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0013,CUST0024,PROJ001,2014-02-15,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0014,CUST0025,PROJ001,2014-05-14,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0015,CUST0026,PROJ001,2013-11-18,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0016,CUST0027,PROJ001,2013-07-10,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0017,CUST0028,PROJ001,2014-01-12,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0018,CUST0030,PROJ001,2013-09-26,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0019,CUST0032,PROJ001,2013-06-25,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0020,CUST0033,PROJ001,2013-08-29,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0021,CUST0036,PROJ001,2014-02-16,5,Excellent construction quality and timely delivery. Very happy!
FDBK0022,CUST0037,PROJ001,2013-12-18,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0023,CUST0039,PROJ001,2013-07-24,5,Excellent construction quality and timely delivery. Very happy!
FDBK0024,CUST0040,PROJ001,2014-04-09,5,Excellent construction quality and timely delivery. Very happy!
FDBK0025,CUST0042,PROJ001,2014-04-21,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0026,CUST0043,PROJ001,2013-12-18,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0027,CUST0044,PROJ001,2013-12-18,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0028,CUST0045,PROJ001,2014-05-03,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0029,CUST0046,PROJ001,2014-03-17,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0030,CUST0047,PROJ001,2013-09-18,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0031,CUST0049,PROJ001,2013-10-15,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0032,CUST0050,PROJ001,2013-10-22,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0033,CUST0051,PROJ001,2013-08-15,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0034,CUST0052,PROJ001,2013-11-21,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
