FeedbackID,CustomerID,ProjectID,FeedbackDate,Rating,Comments
FDBK0001,CUST0002,PROJ001,2014-02-09,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0002,CUST0003,PROJ001,2014-01-25,5,Excellent construction quality and timely delivery. Very happy!
FDBK0003,CUST0004,PROJ001,2014-01-23,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0004,CUST0005,PROJ001,2014-05-10,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0005,CUST0006,PROJ001,2014-03-08,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0006,CUST0007,PROJ001,2013-08-28,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0007,CUST0010,PROJ001,2014-03-19,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0008,CUST0011,PROJ001,2013-07-15,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0009,CUST0013,PROJ001,2013-12-22,2,Significant delay in handover. The final product feels rushed.
FDBK0010,CUST0015,PROJ001,2013-08-14,2,Significant delay in handover. The final product feels rushed.
FDBK0011,CUST0016,PROJ001,2013-11-06,5,Excellent construction quality and timely delivery. Very happy!
FDBK0012,CUST0017,PROJ001,2014-03-07,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0013,CUST0018,PROJ001,2014-01-17,2,Significant delay in handover. The final product feels rushed.
FDBK0014,CUST0020,PROJ001,2013-11-16,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0015,CUST0022,PROJ001,2013-12-28,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0016,CUST0023,PROJ001,2014-04-12,5,Excellent construction quality and timely delivery. Very happy!
FDBK0017,CUST0024,PROJ001,2014-03-11,5,Excellent construction quality and timely delivery. Very happy!
FDBK0018,CUST0027,PROJ001,2013-06-22,5,Excellent construction quality and timely delivery. Very happy!
FDBK0019,CUST0028,PROJ001,2014-04-14,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0020,CUST0029,PROJ001,2014-04-25,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0021,CUST0032,PROJ001,2013-07-20,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0022,CUST0033,PROJ001,2013-11-27,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
